ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J093813.85-000339.5,21.3,0.1,19.27,0.1,18.4,0.04,17.24,0.02,16.52,0.02,15.95,0.03,15.63,0.05,15.4,0.09,L1.5   ,1.83,       ,  ,Simbad,144.55771,-0.06097
J093825.78+105157.5,21,0.07,18.99,0.06,18.05,0.02,17.06,0.01,16.32,0.03,15.8,0.02,15.51,0.05,15.28,0.1,L0.5   ,2.55,       ,  ,Simbad,144.60742,10.86597
J093906.43+341256.8,19.37,0.02,17.33,0.02,16.49,0.01,15.5,0.01,14.88,0.01,14.31,0.01,14.05,0.03,13.63,0.04,L0     ,5.38,L0     ,4,Simbad,144.77679,34.21578
J093930.74+065309.8,21.33,0.14,19.08,0.08,18.08,0.03,16.79,0.01,15.86,0.01,15.16,0.01,14.54,0.03,14.32,0.05,L4.5   ,2.1,       ,  ,Simbad,144.87808,6.88606
J094006.54+021051.1,21.79,0.26,     ,     ,18.58,0.05,17.47,0.03,16.87,0.04,16.23,0.03,15.99,0.06,15.97,0.18,L0.5   ,5.01,       ,  ,Simbad,145.02725,2.18086
J094021.16+012604.0,21.08,0.12,19.35,0.27,18.31,0.03,17.39,0.02,16.65,0.03,16.17,0.03,15.9,0.06,15.54,0.13,L0     ,4.77,       ,  ,Simbad,145.08817,1.43444
J094124.47+012659.6,20.47,0.23,18.58,0.08,17.65,0.02,16.62,0.01,15.97,0.02,15.46,0.02,14.93,0.03,14.71,0.06,L1     ,9.19,       ,  ,Simbad,145.35196,1.44989
J094134.90+100941.0,18.47,0.02,16.5,0.02,15.55,0.01,14.51,0.01,13.9,0.01,13.36,0.01,13.09,0.02,12.81,0.03,L0     ,2.15,L0     ,4,Simbad,145.39542,10.16139
J094229.45+023333.0,     ,     ,19.96,0.2,18.69,0.05,17.46,0.04,17.14,0.04,17.37,0.08,16.79,0.1,15.72,0.14,T3.5   ,19.08,       ,  ,Simbad,145.62271,2.55917
J094318.49+120254.5,21.62,0.13,19.4,0.1,18.65,0.05,17.32,0.03,16.48,0.03,15.7,0.02,14.99,0.04,14.49,0.06,L5     ,17.55,       ,  ,Simbad,145.82704,12.04847
J094340.52+061426.1,21.29,0.09,19.35,0.08,18.29,0.04,17.23,0.02,16.44,0.02,15.77,0.02,15.37,0.04,15.16,0.1,L2     ,4.56,       ,  ,Simbad,145.91883,6.24058
J094402.82+313132.2,19.75,0.03,17.68,0.02,16.77,0.01,15.5,0.01,14.71,0.01,14.04,0.01,13.6,0.03,13.26,0.03,L3     ,0.96,L2     ,18,Simbad,146.01175,31.52561
J094403.46+050754.8,20.9,0.09,18.74,0.05,17.86,0.02,16.74,0.02,16.11,0.02,15.55,0.02,15.06,0.04,14.62,0.06,L1.5   ,11.92,       ,  ,Simbad,146.01442,5.13189
